"CONTRACT_MODE","CONTRACT_NAME","CONATT_DESCRIPTION","CONATT_KEY"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","transaction id","orderId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","currency of refund","currency"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","transaction id","orderId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","currency of refund","currency"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","transaction id","orderId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","currency of refund","currency"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","currency of refund","currency"
"SYNC","UNIONPAY\CREDITCARD\GETSTATUS","transaction id","orderId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The date of the transaction to refund.","TranDate"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","external action id","externalActionId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","currency of refund","currency"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","transaction id","orderId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The amount to refund","refundAmount"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The psp transaction id","pspTransactionId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The date of the transaction to refund.","TranDate"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","external action id","externalActionId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","currency of refund","currency"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","transaction id","orderId"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The amount to refund","refundAmount"
"ASYNC","UNIONPAY\CREDITCARD\REFUND","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","transaction id","externalActionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","currency of payment","currency"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","Url used by alipay to display the payment success, the length need to be less than 80 bytes.","successUrl"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","cube transaction id","orderId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","currency of payment","currency"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","transaction id","externalActionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","Url used by alipay to display the payment success, the length need to be less than 80 bytes.","successUrl"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","The total amount to pay","paymentAmount"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\AUTHENTICATION","cube transaction id","orderId"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","description of the subject","subject"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","cube transaction id","orderId"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","currency of payment","currency"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","The total amount to pay","paymentAmount"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","description of the subject","subject"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","cube transaction id","orderId"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","currency of payment","currency"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","transaction id","externalActionId"
"ASYNC","UNIONPAY\INTERNATIONALCREDICARD\DoCapture","transaction id","externalActionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","transaction id","orderId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The amount to refund","refundAmount"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","external action id","externalActionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","currency of refund","currency"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","transaction id","orderId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The amount to refund","refundAmount"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The psp transaction id","pspTransactionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","currency of refund","currency"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","external action id","externalActionId"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The date of the transaction to refund.","TranDate"
"SYNC","UNIONPAY\INTERNATIONALCREDICARD\REFUND","The date of the transaction to refund.","TranDate"
"SYNC","WECHAT\SCANPAY\CAPTURE","Request Id generated by client application.","externalActionId"
"SYNC","WECHAT\SCANPAY\CAPTURE","currency of payment","currency"
"SYNC","WECHAT\SCANPAY\CAPTURE","Scanned barcode","scannedBarCode"
"SYNC","WECHAT\SCANPAY\CAPTURE","Id of the till","deviceInfo"
"SYNC","WECHAT\SCANPAY\CAPTURE","Short description of the transaction,32 character.","invoiceDescription"
"SYNC","WECHAT\SCANPAY\CAPTURE","Short description of the purchase, max length 127 character.","subject"
"SYNC","WECHAT\SCANPAY\CAPTURE","The total amount of the transaction.","paymentAmount"
"SYNC","WECHAT\SCANPAY\CAPTURE","store transaction id","orderId"
"SYNC","WECHAT\SCANPAY\CAPTURE","store id","storeId"
"SYNC","WECHAT\SCANPAY\REFUND","store transaction id","orderId"
"SYNC","WECHAT\SCANPAY\REFUND","currency of payment","currency"
"SYNC","WECHAT\SCANPAY\REFUND","Request Id generated by client application.","externalActionId"
"SYNC","WECHAT\SCANPAY\REFUND","The amount asked for refound","refundAmount"
"SYNC","WECHAT\SCANPAY\REFUND","store id","storeId"
"SYNC","WECHAT\SCANPAY\REFUND","Id of the till","deviceInfo"
